,comment_clean_custom,regex_label,regex_label_new
0,dispute wrong charge since orevio add twice intl plan cause harge remove one charge since verify verizon error also since previous sup call back add adjustment manager approve total,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
1,need credit travel pass states phone turn airplane mode should not charge travel pass,[],Bill Error/Issues
2,cust call claim promise cust card charge wrongly multiple time promise fix adjust accordingly,['Bill Error/Issues'],Bill Error/Issues
3,request removal verizon cloud say aware verizon cloud request credit time add add educ valid charge verizon mobile protect instead credit well verizon mobile protect apply incorrectly number sustain charge request removal verizon cloud say aware verizon cloud request credit time add add educ valid charge verizon mobile protect instead credit well verizon mobile protect apply incorrectly sustain charge,"['Add Service features', 'Bill Error/Issues']",Bill Error/Issues
4,cust say picture return device crack camera feel charge incorrectly damage shipping process say never even see anything picture indicate phone break,['Bill Error/Issues'],Bill Error/Issues
5,cust refuse tell what wrong keep ask whose charge,['Bill Error/Issues'],Bill Error/Issues
6,call regard line end pay device should not dpp line cycle dpp charge charge back next cycle,[],Bill Error/Issues
7,account datum boost charge wrong line request move back line unlimited plus essential also apply loyalty discount datum boost charge wrong line request move back line unlimited plus essential also apply loyalty discount,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
8,samantha davis feb wrong card charge say autopayment charge wrongcard cust want reverse payment since use adifferent card want back charge card,['Bill Error/Issues'],Bill Error/Issues
9,store call update payment method show different total show store want make sure get charge incorrect transfer order store call payment method show different total show store want make sure get charge incorrect transfer order,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
10,cust claim getting charge incorrect county city tax information need assist,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
11,user incorrect charge reverval say charge remove amt xfer care incorrect charge reverval say charge remove amt xfer care,['Bill Error/Issues'],Bill Error/Issues
12,tracking return package sender request receiver return package sender request receiver show imei show dpp recreate due never actually get warehouse cust never recieve product should not charge,[],Bill Error/Issues
13,call get wrong charger order place itts ticket create call get wrong charger order itts ticket create,"['Credit Request/ Get Waiver', 'Bill Error/Issues']",Bill Error/Issues
14,rcvd message not device adv warehouse should not charge change make,[],Bill Error/Issues
